Matchup,Checks Run,Triggered,Effect,Confidence Before,Confidence After,Notes
49ers vs Rams,"Injury, Divisional, History(10y), Sharp/Freeze, Situational(Rest/Travel), MNF Home-Dog",None,No guardrail triggers,,,
Vikings vs Browns,"Injury, Divisional, History(10y), Sharp/Freeze, Situational(Rest/Travel), MNF Home-Dog",None,No guardrail triggers,,,
Raiders vs Colts,"Injury, Divisional, History(10y), Sharp/Freeze, Situational(Rest/Travel), MNF Home-Dog",None,No guardrail triggers,,,
Jets vs Saints,"Injury, Divisional, History(10y), Sharp/Freeze, Situational(Rest/Travel), MNF Home-Dog",None,No guardrail triggers,,,
Cowboys vs Giants,"Injury, Divisional, History(10y), Sharp/Freeze, Situational(Rest/Travel), MNF Home-Dog",None,No guardrail triggers,,,
Broncos vs Eagles,"Injury, Divisional, History(10y), Sharp/Freeze, Situational(Rest/Travel), MNF Home-Dog",None,No guardrail triggers,,,
Dolphins vs Panthers,"Injury, Divisional, History(10y), Sharp/Freeze, Situational(Rest/Travel), MNF Home-Dog",None,No guardrail triggers,,,
Texans vs Ravens,"Injury, Divisional, History(10y), Sharp/Freeze, Situational(Rest/Travel), MNF Home-Dog",None,No guardrail triggers,,,
Titans vs Cardinals,"Injury, Divisional, History(10y), Sharp/Freeze, Situational(Rest/Travel), MNF Home-Dog",None,No guardrail triggers,,,
Buccaneers vs Seahawks,"Injury, Divisional, History(10y), Sharp/Freeze, Situational(Rest/Travel), MNF Home-Dog",None,No guardrail triggers,,,
Lions vs Bengals,"Injury, Divisional, History(10y), Sharp/Freeze, Situational(Rest/Travel), MNF Home-Dog",None,No guardrail triggers,,,
Commanders vs Chargers,"Injury, Divisional, History(10y), Sharp/Freeze, Situational(Rest/Travel), MNF Home-Dog",None,No guardrail triggers,,,
Patriots vs Bills,"Injury, Divisional, History(10y), Sharp/Freeze, Situational(Rest/Travel), MNF Home-Dog",None,No guardrail triggers,,,
Chiefs vs Jaguars,"Injury, Divisional, History(10y), Sharp/Freeze, Situational(Rest/Travel), MNF Home-Dog",None,No guardrail triggers,,,
